No,Table_Qty,Feederslot_Qty,Head_Qty
1,2,150,16
2,2,161,16
3,2,164,16
4,2,166,16
No,Name,Location_X,Location_Y,Location_Angle,Part_X,Part_Y,Part_Size,Reel_Name,Nozzle_Type1,Nozzle_Type2,Nozzle_Type3,Nozzle_Type4,Nozzle_Type5,Size_X,Size_Y,Machine No,Table,FeederNum,Nozzle_Using
1,CN12000,286,295,0,6.865,24.1,165.4465,AAB00002,150,200,0,0,0,499,399,1,1,85,150
2,CN13000,322,66,270,7.094,41.865,296.99031,AAI00030,250,300,0,0,0,499,399,1,2,96,250
3,C12062,367,40,180,37.7,13,490.1,AAZ00066,450,500,0,0,0,499,399,1,2,110,450
4,C12062,397,344,180,37.7,13,490.1,AAZ00066,450,500,0,0,0,499,399,1,1,119,450
5,C12062,296,203,180,37.7,13,490.1,AAZ00066,450,500,0,0,0,499,399,1,1,118,450
6,C12005,206,213,270,41.4,12.3,509.22,AAJ00053,500,550,0,0,0,499,399,1,1,61,500
7,C12005,464,80,270,41.4,12.3,509.22,AAJ00053,500,550,0,0,0,499,399,1,2,139,500
8,C12005,59,132,270,41.4,12.3,509.22,AAJ00053,500,550,0,0,0,499,399,1,2,138,500
9,C12034,70,64,0,20.75,27.65,573.7375,AAB00006,550,600,0,0,0,499,399,1,2,21,550
10,C12067,297,311,90,39.35,15.1,594.185,AAD00049,550,600,0,0,0,499,399,1,1,89,550
11,C12039,179,360,90,41.35,14.3,591.305,AAC00047,550,600,0,0,0,499,399,1,1,53,550
12,C9027,128,46,270,61.95,10.25,634.9875,AAN00034,600,650,0,0,0,497,382,1,2,38,600
13,C9039,114,320,90,78.05,8.3,647.815,AAU00038,600,650,0,0,0,499,399,1,1,34,600
14,C12036,14,347,270,20.6,30.45,627.27,AAZ00065,600,650,0,0,0,499,399,1,1,4,600
15,R9028,90,121,180,64.15,9.85,631.8775,AAU00054,600,650,0,0,0,499,399,1,2,27,600
16,C9039,335,259,90,78.05,8.3,647.815,AAU00038,600,650,0,0,0,499,399,1,1,33,600
17,C9027,141,141,270,61.95,10.25,634.9875,AAN00034,600,650,0,0,0,499,399,1,2,37,600
18,C12057,258,22,0,43.45,14.05,610.4725,AAS00061,600,650,0,0,0,499,399,1,2,77,600
19,L12012,484,256,180,22.85,27.65,631.8025,AAY00044,600,650,0,0,0,499,399,1,1,145,600
20,C12031,43,86,90,21.6,27.9,602.64,AAZ00025,600,650,0,0,0,499,399,1,2,12,600
21,C12057,83,192,0,43.45,14.05,610.4725,AAS00061,600,650,0,0,0,499,399,1,2,76,600
22,C12044,229,282,270,41.35,16.4,678.14,AAH00052,650,700,0,0,0,499,399,1,1,68,650
23,C12037,339,277,270,21.6,30.45,657.72,AAA00045,650,700,0,0,0,499,399,1,1,101,650
24,C12037,7,81,270,21.6,30.45,657.72,AAA00045,650,700,0,0,0,499,399,1,2,2,650
25,C12030,266,336,90,22.6,30.45,688.17,AAV00062,650,700,0,0,0,499,399,1,1,79,650
26,C9040,213,339,180,75.8,8.7,659.46,AAV00039,650,700,0,0,0,499,399,1,1,64,650
27,C12046,96,53,90,40.35,16.75,675.8625,AAJ00054,650,700,0,0,0,499,399,1,2,28,650
28,C12044,338,261,270,41.35,16.4,678.14,AAH00052,650,700,0,0,0,499,399,1,1,67,650
29,C12040,257,259,0,46.1,16.1,742.21,AAD00048,700,750,0,0,0,499,399,1,1,77,700
30,C12011,252,315,180,37.775,19.7,744.1675,AAK00014,700,750,0,0,0,499,399,1,1,75,700
31,C12040,305,52,0,46.1,16.1,742.21,AAD00048,700,750,0,0,0,499,399,1,2,91,700
32,C12027,466,323,90,42.85,18.2,779.87,AAR00059,750,800,0,0,0,499,382,1,1,140,750
33,FL12001,207,123,270,27.9,27.65,771.435,AAA00023,750,800,0,0,0,499,399,1,2,62,750
34,C12024,353,205,90,43.85,18.2,798.07,AAP00058,750,800,0,0,0,499,399,1,1,106,750
35,C12027,395,14,90,42.85,18.2,779.87,AAR00059,750,800,0,0,0,499,399,1,2,118,750
36,C12024,484,357,90,43.85,18.2,798.07,AAP00058,750,800,0,0,0,499,399,1,1,105,750
