time,Name,Location_X,Location_Y,Location_Angle,Part_X,Part_Y,Part_Size,Reel_Name,Nozzle_Type1,Nozzle_Type2,Feeder_qty,Size_X,Size_Y,Machine No,Table,FeederNum,Nozzle_Using
1681359938979,31412000,464,381,0,6.865,24.1,165.4465,11200002,150,200,162,499,399,1,1,150,150
1681359938979,31413000,66,361,270,7.094,41.865,296.99031,11900030,250,300,162,493,380,1,1,21,250
1681359938979,31413000,456,10,270,7.094,41.865,296.99031,11900030,250,300,162,499,399,1,2,148,250
1681359938979,31413000,401,339,270,7.094,41.865,296.99031,11900030,250,300,162,499,399,1,1,20,250
1681359938979,312061,65,385,270,39.7,11.25,446.625,112500065,400,450,162,499,399,1,1,21,400
1681359938979,312061,469,235,270,39.7,11.25,446.625,112500065,400,450,162,499,399,1,1,21,400
1681359938979,312061,270,257,270,39.7,11.25,446.625,112500065,400,450,162,499,399,1,1,21,400
1681359938979,2412003,378,223,180,42.525,11.6,493.29,11300041,450,500,162,499,399,1,1,122,450
1681359938979,2412003,281,3,180,42.525,11.6,493.29,11300041,450,500,162,499,399,1,2,91,450
1681359938979,312062,132,253,180,37.7,13,490.1,112600066,450,500,162,499,399,1,1,42,450
1681359938979,1212013,33,311,90,19.4,27.5,533.5,112600045,500,550,162,499,399,1,1,10,500
1681359938979,312039,222,273,90,41.35,14.3,591.305,11300047,550,600,162,499,399,1,1,72,550
1681359938979,312039,375,9,90,41.35,14.3,591.305,11300047,550,600,162,499,399,1,2,121,550
1681359938979,312008,14,96,90,45.05,12.3,554.115,111100054,550,600,162,499,399,1,2,4,550
1681359938979,312034,12,96,0,20.75,27.65,573.7375,11200006,550,600,162,499,399,1,2,3,550
1681359938979,312001,432,227,90,47.95,11.6,556.22,111000013,550,600,162,499,399,1,1,140,550
1681359938979,312067,178,251,90,39.35,15.1,594.185,11400049,550,600,162,499,399,1,1,57,550
1681359938979,312067,461,24,90,39.35,15.1,594.185,11400049,550,600,162,499,399,1,2,149,550
1681359938979,312066,409,80,90,38.35,15.1,579.085,11300048,550,600,162,499,399,1,2,132,550
1681359938979,312008,13,321,90,45.05,12.3,554.115,111100054,550,600,162,499,399,1,1,4,550
1681359938979,312066,406,86,90,38.35,15.1,579.085,11300048,550,600,162,499,399,1,2,131,550
1681359938979,312035,382,144,270,19.6,30.45,596.82,112500064,550,600,162,499,399,1,2,124,550
1681359938979,312034,84,398,0,20.75,27.65,573.7375,11200006,550,600,162,499,399,1,1,27,550
1681359938979,312008,6,27,90,45.05,12.3,554.115,111100054,550,600,162,499,399,1,2,3,550
1681359938979,189028,492,230,180,64.15,9.85,631.8775,112100054,600,650,162,493,380,1,1,161,600
1681359938979,1212012,405,366,180,22.85,27.65,631.8025,112500044,600,650,162,499,399,1,1,131,600
1681359938979,39027,387,133,270,61.95,10.25,634.9875,111400034,600,650,162,499,399,1,2,125,600
1681359938979,189029,113,389,90,60.95,10.25,624.7375,112200055,600,650,162,499,399,1,1,36,600
1681359938979,312031,242,68,90,21.6,27.9,602.64,112600025,600,650,162,499,399,1,2,78,600
1681359938979,39027,29,179,270,61.95,10.25,634.9875,111400034,600,650,162,499,399,1,2,124,600
1681359938979,39039,406,252,90,78.05,8.3,647.815,112100038,600,650,162,499,399,1,1,131,600
1681359938979,39027,173,137,270,61.95,10.25,634.9875,111400034,600,650,162,499,399,1,2,124,600
1681359938979,39039,9,57,90,78.05,8.3,647.815,112100038,600,650,162,499,399,1,2,2,600
1681359938979,312041,149,359,0,46.35,14.85,688.2975,11500049,650,700,162,499,399,1,1,48,650
1681359938979,312046,11,234,90,40.35,16.75,675.8625,111000054,650,700,162,499,399,1,1,3,650
1681359938979,312046,136,209,90,40.35,16.75,675.8625,111000054,650,700,162,499,399,1,1,2,650
1681359938979,312044,338,275,270,41.35,16.4,678.14,11800052,650,700,162,499,399,1,1,109,650
1681359938979,312041,294,179,0,46.35,14.85,688.2975,11500049,650,700,162,499,399,1,2,95,650
1681359938979,312037,273,128,270,21.6,30.45,657.72,11100045,650,700,162,499,399,1,2,88,650
1681359938979,312011,359,91,180,37.775,19.7,744.1675,111100014,700,750,162,432,350,1,2,134,700
1681359938979,312040,359,47,0,46.1,16.1,742.21,11400048,700,750,162,493,380,1,2,117,700
1681359938979,189027,193,220,0,58.6,12.5,732.5,111900053,700,750,162,493,393,1,1,63,700
