5
No,Table_Qty,Feederslot_Qty,Head_Qty
1,2,199,16
2,2,194,16
3,2,177,16
4,2,154,16
5,2,172,16
968
No,Name,Location_X,Location_Y,Location_Angle,Part_X,Part_Y,Reel_Name,Nozzle_Type1,Nozzle_Type2,Nozzle_Type3,Nozzle_Type4,Nozzle_Type5,Size_X,Size_Y
1,C9030,459,74,180,72,8.7,AAP00035,600,650,0,0,0,499,399
2,C7046,242,373,180,34.1,146.525,AAM00030,4950,5000,0,0,0,499,399
3,R1064,52,257,90,65.1,83.125,AAE00035,5400,5450,0,0,0,499,399
4,R1108,96,255,90,71.1,85.8,AAG00038,6100,6150,0,0,0,499,399
5,C8043,295,116,0,41.425,109.65,AAX00039,4500,4550,0,0,0,499,399
6,C9089,273,38,180,70.4,111,AAE00026,7800,7850,0,0,0,499,399
7,C4001,399,240,270,59.2,142.725,AAF00020,8400,8450,0,0,0,499,399
8,R1026,270,79,90,68.1,55,AAN00043,3700,3750,0,0,0,499,399
9,C3039,78,186,270,58.2,121.25,AAX00028,7050,7100,0,0,0,499,399
10,C14013,106,12,0,20.25,146.75,AAL00017,2950,3000,0,0,0,499,399
11,C11031,432,111,90,78.85,73.3,AAB00004,5750,5800,0,0,0,499,399
12,C12056,340,258,90,39.35,18.55,AAR00060,700,750,0,0,0,499,399
13,C11001,368,156,0,38.8,56.975,AAX00061,2200,2250,0,0,0,499,399
14,C1092,390,254,180,84.375,59.225,AAN00055,4950,5000,0,0,0,499,399
15,R9041,156,88,90,77.5,16.85,AAX00056,1300,1350,0,0,0,499,399
16,R1089,292,335,270,55.1,91.9,AAV00049,5050,5100,0,0,0,499,399
17,C12058,221,2,0,47.45,18.15,AAU00062,850,900,0,0,0,499,399
18,R13097,482,161,270,71.95,24.6,AAF00040,1750,1800,0,0,0,499,399
19,C12061,445,152,270,39.7,11.25,AAY00065,400,450,0,0,0,499,399
20,CN1000,401,131,180,83.7,129.4,AAH00029,10800,10850,0,0,0,499,399
21,Q1019,96,357,270,84.325,59.975,AAV00046,5050,5100,0,0,0,499,399
22,C7012,272,131,180,40.225,126.35,AAI00025,5050,5100,0,0,0,499,399
23,R1016,321,363,90,73.925,78.925,AAH00037,5800,5850,0,0,0,499,399
24,R13010,227,324,90,45.2,30.8,AAB00034,1350,1400,0,0,0,499,399
