4
No,Table_Qty,Feederslot_Qty,Head_Qty
1,2,190,16
2,2,168,16
3,2,150,16
4,2,189,16
821
No,Name,Location_X,Location_Y,Location_Angle,Part_X,Part_Y,Reel_Name,Nozzle_Type1,Nozzle_Type2,Nozzle_Type3,Nozzle_Type4,Nozzle_Type5,Size_X,Size_Y
1,L12012,1,37,180,22.85,27.65,AAY00044,600,650,0,0,0,499,398
2,C12008,423,18,90,45.05,12.3,AAK00054,550,600,0,0,0,499,398
3,Q9011,207,195,0,76,83.25,AAU00046,6300,6350,0,0,0,499,398
4,R1042,162,154,0,43.8,69.55,AAA00031,3000,3050,0,0,0,499,398
5,L1000,111,299,180,69.5,67.05,AAN00037,4650,4700,0,0,0,499,398
6,C10032,146,270,0,42.05,83.65,AAK00050,3500,3550,0,0,0,499,398
7,R9080,418,177,270,76.425,85.05,AAH00045,6450,6500,0,0,0,499,398
8,C3058,305,327,0,52.45,119.95,AAL00021,6250,6300,0,0,0,499,398
9,C10052,179,66,90,33.35,118.6,AAF00046,3950,4000,0,0,0,499,398
10,C2053,285,49,270,85.65,114.5,AAC00010,9800,9850,0,0,0,499,398
11,C1089,89,71,180,28.75,65.1,AAK00052,1850,1900,0,0,0,499,398
12,C12014,222,103,270,43.45,24.8,AAM00016,1050,1100,0,0,0,499,398
13,L8015,54,95,90,42.35,116.75,AAL00038,4900,4950,0,0,0,499,398
14,C7001,271,41,180,27.6,136.35,AAY00036,3750,3800,0,0,0,499,398
15,R13006,85,391,90,44.05,32.55,AAX00051,1400,1450,0,0,0,499,398
16,C4017,38,311,270,60.7,142.7,AAZ00036,8650,8700,0,0,0,499,398
17,C4019,142,26,270,53.075,99.2,AAB00017,5250,5300,0,0,0,499,398
18,L7060,457,245,270,35.2,143.775,AAY00046,5050,5100,0,0,0,499,398
19,C3130,200,156,270,55.55,116.15,AAI00021,6450,6500,0,0,0,499,398
20,C10047,159,195,90,43.3,116.05,AAA00041,5000,5050,0,0,0,499,398
21,C7020,36,337,270,37.15,139.85,AAN00030,5150,5200,0,0,0,499,398
22,C3056,238,58,90,62.7,119.55,AAJ00019,7450,7500,0,0,0,499,398
23,FL7004,374,311,0,32.125,145.25,AAG00029,4650,4700,0,0,0,499,398
24,C8045,220,74,180,34.325,112.85,AAZ00041,3850,3900,0,0,0,499,398
25,C4029,143,118,270,57.1,95.4,AAL00027,5400,5450,0,0,0,499,398
26,X13000,235,177,0,47.5,44.15,AAD00042,2050,2100,0,0,0,499,398
27,C7044,254,113,0,37.8,126.35,AAK00028,4750,4800,0,0,0,499,398
28,C11048,278,115,90,27.45,97.75,AAN00016,2650,2700,0,0,0,499,398
29,L7055,412,106,0,35.8,136.275,AAR00041,4850,4900,0,0,0,499,398
30,C10031,171,17,0,24.2,137.25,AAJ00049,3300,3350,0,0,0,499,398
31,R13091,403,316,270,66.15,39.45,AAZ00055,2600,2650,0,0,0,499,398
32,C3114,351,189,90,52.8,121.25,AAS00028,6400,6450,0,0,0,499,398
33,U13000,492,277,0,66.375,37.305,AAX00057,2450,2500,0,0,0,499,398
34,CN11001,247,131,270,8.743,96.096,AAA00001,800,850,0,0,0,499,398
35,C10046,419,336,90,41.85,115.75,AAZ00061,4800,4850,0,0,0,499,398
36,C4006,446,252,180,59.3,98.25,AAK00025,5800,5850,0,0,0,499,398
37,C11081,115,372,90,51.95,83.2,AAB00045,4300,4350,0,0,0,499,398
38,C3054,217,323,90,58.2,114.45,AAH00017,6650,6700,0,0,0,499,398
39,L7037,248,206,270,32,123.75,AAE00030,3950,4000,0,0,0,499,398
40,C10048,154,261,270,41.6,113.2,AAB00042,4700,4750,0,0,0,499,398
41,R13062,321,162,90,64.65,41.25,AAK00044,2650,2700,0,0,0,499,398
42,C7057,312,254,270,26.2,133.525,AAY00038,3450,3500,0,0,0,499,398
43,TH15000,346,233,180,89.4,88.3,AAI00046,7850,7900,0,0,0,499,398
44,R13094,42,194,0,75.15,34.9,AAC00037,2600,2650,0,0,0,499,398
45,C12002,4,6,0,47.45,20.2,AAI00052,950,1000,0,0,0,499,398
46,C9006,192,286,270,67.8,139.3,AAG00027,9400,9450,0,0,0,499,398
47,R1001,89,372,90,68.6,75.3,AAV00047,5150,5200,0,0,0,499,398
48,C14004,124,46,270,19.95,150.4,AAC00008,3000,3050,0,0,0,499,398
49,C12049,459,149,0,43.55,21.75,AAM00057,900,950,0,0,0,499,398
50,C12005,271,83,270,41.4,12.3,AAJ00053,500,550,0,0,0,499,398
51,C11021,352,271,180,78.65,70.65,AAU00019,5550,5600,0,0,0,499,398
52,C11002,475,341,0,38.675,49.8,AAY00062,1900,1950,0,0,0,499,398
53,C3055,132,87,90,57.3,114.45,AAI00018,6550,6600,0,0,0,499,398
54,C11033,242,81,180,80,74.25,AAD00006,5900,5950,0,0,0,499,398
55,C9004,248,59,270,64.8,105.775,AAE00025,6850,6900,0,0,0,499,398
56,R8003,99,171,0,22.6,125.4,AAD00040,2800,2850,0,0,0,499,398
57,R9010,126,45,0,71.775,100.45,AAI00045,7200,7250,0,0,0,499,398
58,R13034,55,53,180,75.15,36.9,AAS00049,2750,2800,0,0,0,499,398
