No,Name,Location_X,Location_Y,Location_Angle,Part_X,Part_Y,Part_Size,Reel_Name,Nozzle_Type1,Nozzle_Type2,Nozzle_Type3,Nozzle_Type4,Nozzle_Type5,Size_X,Size_Y,Machine No,Table,FeederNum,Nozzle_Using
1,CN12000,164,221,0,6.865,24.1,165.4465,AAB00002,150,200,0,0,0,499,398,1,1,53,150
2,CN12000,396,66,0,6.865,24.1,165.4465,AAB00002,150,200,0,0,0,499,399,1,2,130,150
3,CN12000,223,377,0,6.865,24.1,165.4465,AAB00002,150,200,0,0,0,499,399,1,1,52,150
4,CN13000,171,186,270,7.094,41.865,296.99031,AAI00030,250,300,0,0,0,499,397,1,2,56,250
5,CN13000,69,161,270,7.094,41.865,296.99031,AAI00030,250,300,0,0,0,499,398,1,2,55,250
6,CN13000,150,394,270,7.094,41.865,296.99031,AAI00030,250,300,0,0,0,499,399,1,1,49,250
7,CN13000,292,358,270,7.094,41.865,296.99031,AAI00030,250,300,0,0,0,499,399,1,1,48,250
8,C12061,366,380,270,39.7,11.25,446.625,AAY00065,400,450,0,0,0,499,398,1,1,120,450
9,C12062,214,217,180,37.7,13,490.1,AAZ00066,450,500,0,0,0,499,397,1,1,70,450
10,C12062,429,260,180,37.7,13,490.1,AAZ00066,450,500,0,0,0,499,398,1,1,69,450
11,L12013,25,398,90,19.4,27.5,533.5,AAZ00045,500,550,0,0,0,499,398,1,1,8,500
12,C12005,244,67,270,41.4,12.3,509.22,AAJ00053,500,550,0,0,0,499,398,1,2,80,500
13,C12005,304,239,270,41.4,12.3,509.22,AAJ00053,500,550,0,0,0,499,398,1,1,99,500
14,L12013,18,310,90,19.4,27.5,533.5,AAZ00045,500,550,0,0,0,499,399,1,1,7,500
15,L12013,13,131,90,19.4,27.5,533.5,AAZ00045,500,550,0,0,0,499,399,1,2,4,500
16,L12013,223,396,90,19.4,27.5,533.5,AAZ00045,500,550,0,0,0,499,399,1,1,7,500
17,C12067,275,227,90,39.35,15.1,594.185,AAD00049,550,600,0,0,0,499,397,1,1,90,550
18,C12034,122,218,0,20.75,27.65,573.7375,AAB00006,550,600,0,0,0,499,397,1,1,40,550
19,C12067,162,216,90,39.35,15.1,594.185,AAD00049,550,600,0,0,0,499,398,1,1,89,550
20,C12035,317,185,270,19.6,30.45,596.82,AAY00064,550,600,0,0,0,499,398,1,2,104,550
21,C12066,6,229,90,38.35,15.1,579.085,AAC00048,550,600,0,0,0,499,398,1,1,1,550
22,C12035,361,37,270,19.6,30.45,596.82,AAY00064,550,600,0,0,0,499,398,1,2,103,550
23,C12035,344,158,270,19.6,30.45,596.82,AAY00064,550,600,0,0,0,499,398,1,2,103,550
24,C12000,160,253,90,48.95,11.6,567.82,AAI00012,550,600,0,0,0,499,398,1,1,52,550
25,C12067,233,55,90,39.35,15.1,594.185,AAD00049,550,600,0,0,0,499,398,1,2,76,550
26,C12035,101,189,270,19.6,30.45,596.82,AAY00064,550,600,0,0,0,499,398,1,2,103,550
27,C12066,483,268,90,38.35,15.1,579.085,AAC00048,550,600,0,0,0,499,399,1,1,0,550
28,C12000,183,244,90,48.95,11.6,567.82,AAI00012,550,600,0,0,0,499,399,1,1,51,550
29,C12034,200,59,0,20.75,27.65,573.7375,AAB00006,550,600,0,0,0,499,399,1,2,65,550
30,C12067,83,132,90,39.35,15.1,594.185,AAD00049,550,600,0,0,0,499,399,1,2,75,550
31,C12039,438,199,90,41.35,14.3,591.305,AAC00047,550,600,0,0,0,499,399,1,2,143,550
32,C12039,483,146,90,41.35,14.3,591.305,AAC00047,550,600,0,0,0,499,399,1,2,142,550
33,C12067,275,91,90,39.35,15.1,594.185,AAD00049,550,600,0,0,0,499,399,1,2,75,550
34,C12057,178,358,0,43.45,14.05,610.4725,AAS00061,600,650,0,0,0,499,397,1,1,58,600
35,R9029,75,45,90,60.95,10.25,624.7375,AAV00055,600,650,0,0,0,499,397,1,2,24,600
36,R9029,4,213,90,60.95,10.25,624.7375,AAV00055,600,650,0,0,0,499,397,1,1,1,600
37,C9039,381,270,90,78.05,8.3,647.815,AAU00038,600,650,0,0,0,499,398,1,1,125,600
38,C12036,244,240,270,20.6,30.45,627.27,AAZ00065,600,650,0,0,0,499,398,1,1,80,600
39,R9028,463,174,180,64.15,9.85,631.8775,AAU00054,600,650,0,0,0,499,398,1,2,152,600
40,R9029,120,149,90,60.95,10.25,624.7375,AAV00055,600,650,0,0,0,499,399,1,2,23,600
41,C12036,225,346,270,20.6,30.45,627.27,AAZ00065,600,650,0,0,0,499,399,1,1,79,600
42,C12031,297,122,90,21.6,27.9,602.64,AAZ00025,600,650,0,0,0,499,399,1,2,97,600
43,C12041,348,379,0,46.35,14.85,688.2975,AAE00049,650,700,0,0,0,499,397,1,1,114,650
44,C12041,92,226,0,46.35,14.85,688.2975,AAE00049,650,700,0,0,0,499,398,1,1,113,650
45,C12044,202,230,270,41.35,16.4,678.14,AAH00052,650,700,0,0,0,499,398,1,1,66,650
46,C12025,119,325,90,24.3,27.9,677.97,AAX00023,650,700,0,0,0,499,399,1,1,39,650
47,C9040,185,273,180,75.8,8.7,659.46,AAV00039,650,700,0,0,0,499,399,1,1,60,650
48,C12025,412,278,90,24.3,27.9,677.97,AAX00023,650,700,0,0,0,499,399,1,1,38,650
49,C12046,167,90,90,40.35,16.75,675.8625,AAJ00054,650,700,0,0,0,499,399,1,2,54,650
50,C12030,477,106,90,22.6,30.45,688.17,AAV00062,650,700,0,0,0,499,399,1,2,156,650
51,C12040,136,283,0,46.1,16.1,742.21,AAD00048,700,750,0,0,0,499,397,1,1,44,700
52,C12059,383,174,90,40.35,18.55,748.4925,AAV00063,700,750,0,0,0,499,397,1,2,125,700
53,X12001,310,118,180,25.65,27.85,714.3525,AAB00040,700,750,0,0,0,499,397,1,2,101,700
54,C12040,291,102,0,46.1,16.1,742.21,AAD00048,700,750,0,0,0,499,397,1,2,95,700
55,X12001,201,267,180,25.65,27.85,714.3525,AAB00040,700,750,0,0,0,499,397,1,1,66,700
56,R9027,140,165,0,58.6,12.5,732.5,AAS00053,700,750,0,0,0,499,397,1,2,46,700
57,Q9006,407,9,270,60.45,12.1,731.445,AAM00041,700,750,0,0,0,499,398,1,2,133,700
58,C12059,298,196,90,40.35,18.55,748.4925,AAV00063,700,750,0,0,0,499,398,1,2,124,700
59,C12011,190,13,180,37.775,19.7,744.1675,AAK00014,700,750,0,0,0,499,399,1,2,62,700
60,C12011,264,233,180,37.775,19.7,744.1675,AAK00014,700,750,0,0,0,499,399,1,1,86,700
61,C12040,27,374,0,46.1,16.1,742.21,AAD00048,700,750,0,0,0,499,399,1,1,43,700
62,C12081,49,66,180,29.9,26.7,798.33,AAF00010,750,800,0,0,0,499,397,1,2,16,750
63,C12019,179,37,180,26.55,29.5,783.225,AAS00020,750,800,0,0,0,499,397,1,2,58,750
64,U12002,442,123,90,39.58,19.275,762.9045,AAU00055,750,800,0,0,0,499,397,1,2,145,750
65,C12019,137,329,180,26.55,29.5,783.225,AAS00020,750,800,0,0,0,499,398,1,1,45,750
66,C12045,392,18,270,38.35,20.25,776.5875,AAI00053,750,800,0,0,0,499,398,1,2,128,750
67,Q9005,180,246,0,64.15,12.4,795.46,AAL00040,750,800,0,0,0,499,399,1,1,59,750
68,C12027,211,379,90,42.85,18.2,779.87,AAR00059,750,800,0,0,0,499,399,1,1,69,750
69,R12007,306,103,0,53.45,14.65,783.0425,AAS00048,750,800,0,0,0,499,399,1,2,100,750
70,C12024,79,318,90,43.85,18.2,798.07,AAP00058,750,800,0,0,0,499,399,1,1,25,750
71,C12081,278,37,180,29.9,26.7,798.33,AAF00010,750,800,0,0,0,499,399,1,2,15,750
72,C12024,163,121,90,43.85,18.2,798.07,AAP00058,750,800,0,0,0,499,399,1,2,53,750
73,C12022,97,285,90,42.45,20,849,AAN00057,800,850,0,0,0,465,390,1,1,34,800
74,CN11001,92,83,270,8.743,96.096,840.167328,AAA00001,800,850,0,0,0,499,397,1,2,30,800
75,D9003,452,24,90,58.9,14.35,845.215,AAV00040,800,850,0,0,0,499,397,1,2,148,800
76,C12022,62,262,90,42.45,20,849,AAN00057,800,850,0,0,0,499,397,1,1,33,800
77,D9003,342,295,90,58.9,14.35,845.215,AAV00040,800,850,0,0,0,499,397,1,1,112,800
78,C12012,435,59,180,37.8,21.4,808.92,AAL00015,800,850,0,0,0,499,398,1,2,142,800
79,C12080,355,138,90,30.75,26.45,813.3375,AAE00009,800,850,0,0,0,499,398,1,2,116,800
80,C13063,121,227,180,22.7,36.8,835.36,AAS00021,800,850,0,0,0,499,398,1,1,37,800
81,C13063,236,214,180,22.7,36.8,835.36,AAS00021,800,850,0,0,0,499,398,1,1,37,800
82,D9003,157,37,90,58.9,14.35,845.215,AAV00040,800,850,0,0,0,499,398,1,2,147,800
83,CN11001,76,325,270,8.743,96.096,840.167328,AAA00001,800,850,0,0,0,499,398,1,1,24,800
84,C13063,2,27,180,22.7,36.8,835.36,AAS00021,800,850,0,0,0,499,399,1,2,1,800
85,CN11001,87,87,270,8.743,96.096,840.167328,AAA00001,800,850,0,0,0,499,399,1,2,29,800
86,IC12000,321,318,90,44.15,18.2,803.53,AAB00025,800,850,0,0,0,499,399,1,1,105,800
87,C12033,273,166,90,41.45,19.95,826.9275,AAX00063,800,850,0,0,0,499,399,1,2,89,800
88,C13061,454,73,180,25.25,31.9,805.475,AAP00019,800,850,0,0,0,499,399,1,2,149,800
89,D9003,212,54,90,58.9,14.35,845.215,AAV00040,800,850,0,0,0,499,399,1,2,147,800
90,C13061,412,160,180,25.25,31.9,805.475,AAP00019,800,850,0,0,0,499,399,1,2,148,800
91,C12060,39,67,90,39.35,22.05,867.6675,AAX00064,850,900,0,0,0,499,397,1,2,12,850
92,C12063,443,95,90,40.35,22.05,889.7175,AAA00046,850,900,0,0,0,499,397,1,2,145,850
93,C12077,343,358,180,30.15,28.2,850.23,AAD00008,850,900,0,0,0,499,397,1,1,112,850
94,C13062,14,49,180,22.7,38.75,879.625,AAR00020,850,900,0,0,0,499,397,1,2,4,850
95,R12006,221,148,0,53.45,16.65,889.9425,AAR00047,850,900,0,0,0,499,398,1,2,72,850
96,C12077,381,250,180,30.15,28.2,850.23,AAD00008,850,900,0,0,0,499,398,1,1,112,850
97,C12060,291,231,90,39.35,22.05,867.6675,AAX00064,850,900,0,0,0,499,398,1,1,95,850
98,C9033,146,392,270,72.8,12.15,884.52,AAR00036,850,900,0,0,0,499,398,1,1,47,850
99,C13062,247,142,180,22.7,38.75,879.625,AAR00020,850,900,0,0,0,499,398,1,2,4,850
100,R12006,87,253,0,53.45,16.65,889.9425,AAR00047,850,900,0,0,0,499,398,1,1,28,850
101,C12058,432,322,0,47.45,18.15,861.2175,AAU00062,850,900,0,0,0,499,398,1,1,141,850
102,C9033,249,7,270,72.8,12.15,884.52,AAR00036,850,900,0,0,0,499,399,1,2,81,850
103,C12077,254,392,180,30.15,28.2,850.23,AAD00008,850,900,0,0,0,499,399,1,1,112,850
104,C12063,274,117,90,40.35,22.05,889.7175,AAA00046,850,900,0,0,0,499,399,1,2,145,850
105,C13062,441,103,180,22.7,38.75,879.625,AAR00020,850,900,0,0,0,499,399,1,2,4,850
106,FL12000,390,204,180,32.525,28.5,926.9625,AAZ00043,900,950,0,0,0,499,398,1,1,128,900
107,R12008,499,119,0,51.65,17.65,911.6225,AAU00049,900,950,0,0,0,499,398,1,2,164,900
108,R12008,89,37,0,51.65,17.65,911.6225,AAU00049,900,950,0,0,0,499,398,1,2,163,900
109,C12049,417,199,0,43.55,21.75,947.2125,AAM00057,900,950,0,0,0,499,399,1,2,137,900
110,R13045,137,325,90,26,35.4,920.4,AAY00053,900,950,0,0,0,499,399,1,1,45,900
111,R13045,419,216,90,26,35.4,920.4,AAY00053,900,950,0,0,0,499,399,1,1,45,900
112,R13045,240,276,90,26,35.4,920.4,AAY00053,900,950,0,0,0,499,399,1,1,45,900
113,TU16004,480,385,270,36.4,26.7,971.88,AAP00052,950,1000,0,0,0,499,397,1,1,157,950
114,L12009,132,208,270,33.85,28.75,973.1875,AAV00042,950,1000,0,0,0,499,397,1,1,43,950
115,L12009,234,67,270,33.85,28.75,973.1875,AAV00042,950,1000,0,0,0,499,398,1,2,76,950
116,C13067,442,87,180,22.05,44.35,977.9175,AAV00023,950,1000,0,0,0,499,398,1,2,143,950
117,C12002,71,247,0,47.45,20.2,958.49,AAI00052,950,1000,0,0,0,499,398,1,1,23,950
118,C12002,372,285,0,47.45,20.2,958.49,AAI00052,950,1000,0,0,0,499,399,1,1,22,950
119,C12048,352,205,90,44.15,23.6,1041.94,AAL00056,1000,1050,0,0,0,499,397,1,1,115,1000
120,C9035,493,315,0,72.25,14.4,1040.4,AAS00037,1000,1050,0,0,0,499,398,1,1,162,1000
