No,Table_Qty,Feederslot_Qty,Head_Qty
1,2,167,16
2,2,163,16
3,2,166,16
4,2,192,16
5,2,169,16
6,2,188,16
No,Name,Location_X,Location_Y,Location_Angle,Part_X,Part_Y,Part_Size,Reel_Name,Nozzle_Type1,Nozzle_Type2,Nozzle_Type3,Nozzle_Type4,Nozzle_Type5,Size_X,Size_Y,Machine No,Table,FeederNum,Nozzle_Using
1,CN12000,466,394,0,6.865,24.1,165.4465,AAB00002,150,200,0,0,0,499,399,1,1,155,150
2,CN13000,303,195,270,7.094,41.865,296.99031,AAI00030,250,300,0,0,0,498,398,1,2,101,250
3,C12062,133,58,180,37.7,13,490.1,AAZ00066,450,500,0,0,0,498,398,1,2,44,500
4,C12005,354,134,270,41.4,12.3,509.22,AAJ00053,500,550,0,0,0,498,398,1,2,118,500
5,C12005,14,315,270,41.4,12.3,509.22,AAJ00053,500,550,0,0,0,499,399,1,1,4,500
6,C12005,100,320,270,41.4,12.3,509.22,AAJ00053,500,550,0,0,0,499,399,1,1,3,500
7,C12001,357,116,90,47.95,11.6,556.22,AAJ00013,550,600,0,0,0,460,378,1,2,129,550
8,C12001,36,342,90,47.95,11.6,556.22,AAJ00013,550,600,0,0,0,498,398,1,1,12,550
9,C12035,498,312,270,19.6,30.45,596.82,AAY00064,550,600,0,0,0,498,398,1,1,167,550
10,C12001,459,347,90,47.95,11.6,556.22,AAJ00013,550,600,0,0,0,498,398,1,1,11,550
11,C12035,101,312,270,19.6,30.45,596.82,AAY00064,550,600,0,0,0,498,398,1,1,166,550
12,C12066,475,262,90,38.35,15.1,579.085,AAC00048,550,600,0,0,0,498,398,1,1,159,550
13,C12008,484,96,90,45.05,12.3,554.115,AAK00054,550,600,0,0,0,499,399,1,2,161,550
14,C12000,219,395,90,48.95,11.6,567.82,AAI00012,550,600,0,0,0,499,399,1,1,73,550
15,C12034,359,202,0,20.75,27.65,573.7375,AAB00006,550,600,0,0,0,499,399,1,1,120,550
16,C12001,453,302,90,47.95,11.6,556.22,AAJ00013,550,600,0,0,0,499,399,1,1,11,550
17,C12035,231,136,270,19.6,30.45,596.82,AAY00064,550,600,0,0,0,499,399,1,2,77,550
18,C12039,260,89,90,41.35,14.3,591.305,AAC00047,550,600,0,0,0,499,399,1,2,87,550
19,C12057,12,172,0,43.45,14.05,610.4725,AAS00061,600,650,0,0,0,498,398,1,2,4,600
20,C9030,317,128,180,72,8.7,626.4,AAP00035,600,650,0,0,0,499,399,1,2,106,600
21,C9027,276,230,270,61.95,10.25,634.9875,AAN00034,600,650,0,0,0,499,399,1,1,92,600
22,L12012,43,19,180,22.85,27.65,631.8025,AAY00044,600,650,0,0,0,499,399,1,2,14,600
23,R9029,105,149,90,60.95,10.25,624.7375,AAV00055,600,650,0,0,0,499,399,1,2,35,600
24,C12036,449,354,270,20.6,30.45,627.27,AAZ00065,600,650,0,0,0,499,399,1,1,150,600
25,C9030,177,266,180,72,8.7,626.4,AAP00035,600,650,0,0,0,499,399,1,1,59,600
26,C12030,250,190,90,22.6,30.45,688.17,AAV00062,650,700,0,0,0,498,398,1,2,83,650
27,C12041,416,174,0,46.35,14.85,688.2975,AAE00049,650,700,0,0,0,498,398,1,2,139,650
28,C12030,247,300,90,22.6,30.45,688.17,AAV00062,650,700,0,0,0,498,398,1,1,82,650
29,C9040,180,141,180,75.8,8.7,659.46,AAV00039,650,700,0,0,0,498,398,1,2,60,650
