No,Name,Location_X,Location_Y,Location_Angle,Part_X,Part_Y,Part_Size,Reel_Name,Nozzle_Type1,Nozzle_Type2,Nozzle_Type3,Nozzle_Type4,Nozzle_Type5,Machine_qty,Feeder1_qty,Feeder2_qty,Feeder3_qty,Feeder4_qty,Feeder5_qty,Feeder6_qty,Size_X,Size_Y,Machine No,Table,FeederNum,Nozzle_Using
1,31412000,269,10,0,6.865,24.1,165.4465,11200002,150,200,0,0,0,5,176,179,164,183,193,0,499,399,1,2,94,150
2,31413000,337,98,270,7.094,41.865,296.99031,11900030,250,300,0,0,0,5,176,179,164,183,193,0,499,397,1,2,118,250
3,31413000,45,149,270,7.094,41.865,296.99031,11900030,250,300,0,0,0,5,176,179,164,183,193,0,499,399,1,2,117,250
4,31413000,272,298,270,7.094,41.865,296.99031,11900030,250,300,0,0,0,5,176,179,164,183,193,0,499,399,1,1,95,250
5,31413000,277,296,270,7.094,41.865,296.99031,11900030,250,300,0,0,0,5,176,179,164,183,193,0,499,399,1,1,94,250
6,31413000,293,120,270,7.094,41.865,296.99031,11900030,250,300,0,0,0,5,176,179,164,183,193,0,499,399,1,2,117,250
7,312061,487,103,270,39.7,11.25,446.625,112500065,400,450,0,0,0,5,176,179,164,183,193,0,499,399,1,2,171,400
8,312061,85,42,270,39.7,11.25,446.625,112500065,400,450,0,0,0,5,176,179,164,183,193,0,499,399,1,2,170,400
9,312061,360,204,270,39.7,11.25,446.625,112500065,400,450,0,0,0,5,176,179,164,183,193,0,499,399,1,1,126,400
10,312061,100,309,270,39.7,11.25,446.625,112500065,400,450,0,0,0,5,176,179,164,183,193,0,499,399,1,1,125,400
11,312061,73,362,270,39.7,11.25,446.625,112500065,400,450,0,0,0,5,176,179,164,183,193,0,499,399,1,1,125,400
12,312062,155,161,180,37.7,13,490.1,112600066,450,500,0,0,0,5,176,179,164,183,193,0,499,399,1,2,54,450
13,1212013,270,338,90,19.4,27.5,533.5,112600045,500,550,0,0,0,5,176,179,164,183,193,0,499,399,1,1,95,500
14,312005,390,365,270,41.4,12.3,509.22,111000053,500,550,0,0,0,5,176,179,164,183,193,0,499,399,1,1,137,500
15,312066,347,150,90,38.35,15.1,579.085,11300048,550,600,0,0,0,5,176,179,164,183,193,0,471,392,1,2,129,550
16,312034,429,11,0,20.75,27.65,573.7375,11200006,550,600,0,0,0,5,176,179,164,183,193,0,471,392,1,2,160,550
