6
No,Table_Qty,Feederslot_Qty,Head_Qty
1,2,192,16
2,2,199,16
3,2,189,16
4,2,169,16
5,2,162,16
6,2,178,16
1259
No,Name,Location_X,Location_Y,Location_Angle,Part_X,Part_Y,Reel_Name,Nozzle_Type1,Nozzle_Type2,Nozzle_Type3,Nozzle_Type4,Nozzle_Type5,Size_X,Size_Y
1,L8028,41,192,90,33.475,119.35,AAA00028,3950,4000,0,0,0,499,399
2,C10041,54,233,180,21.25,128.65,AAS00056,2700,2750,0,0,0,499,399
3,FL7000,236,169,270,27.55,137.9,AAC00025,3750,3800,0,0,0,499,399
4,FL7000,479,2,270,27.55,137.9,AAC00025,3750,3800,0,0,0,499,399
5,Q9010,136,193,180,75.5,88.95,AAS00045,6700,6750,0,0,0,499,399
6,C9027,426,316,270,61.95,10.25,AAN00034,600,650,0,0,0,499,399
7,Q1005,451,32,90,49.875,97.25,AAG00034,4850,4900,0,0,0,499,399
8,C3026,55,353,270,57.3,119.45,AAJ00018,6800,6850,0,0,0,499,399
9,L14007,391,358,0,25.5,150.4,AAH00032,3800,3850,0,0,0,499,399
10,R13097,182,88,270,71.95,24.6,AAF00040,1750,1800,0,0,0,499,399
11,C3008,148,267,0,61,108.15,AAS00024,6550,6600,0,0,0,499,399
12,C12054,491,359,0,47.45,19.15,AAN00058,900,950,0,0,0,499,399
13,C10012,93,292,0,45.25,88.4,AAX00058,4000,4050,0,0,0,499,399
14,C3094,489,264,90,59.15,124.65,AAX00030,7350,7400,0,0,0,499,399
15,C4002,224,342,270,56.2,142.725,AAG00021,8000,8050,0,0,0,499,399
16,FL7001,152,227,180,45.5,117.7,AAD00026,5350,5400,0,0,0,499,399
17,C9006,73,209,270,67.8,139.3,AAG00027,9400,9450,0,0,0,499,399
18,C4003,53,196,270,57.025,99.35,AAH00022,5650,5700,0,0,0,499,399
19,L9003,8,388,270,67.05,12.1,AAC00030,800,850,0,0,0,499,399
20,R1105,205,130,90,66.575,82.55,AAE00036,5450,5500,0,0,0,499,399
21,C3050,169,44,90,60.9,114.45,AAE00014,6950,7000,0,0,0,499,399
22,C4026,366,265,0,60.55,136.85,AAI00024,8250,8300,0,0,0,499,399
23,L8014,158,115,90,40.95,118.5,AAK00037,4850,4900,0,0,0,499,399
24,C11050,325,267,180,87.8,69.45,AAR00018,6050,6100,0,0,0,499,399
25,C8018,299,369,90,41.3,116.55,AAZ00040,4800,4850,0,0,0,499,399
26,C1071,181,265,90,61.15,68.95,AAE00006,4200,4250,0,0,0,499,399
27,C4016,435,192,180,54.55,97.4,AAY00035,5300,5350,0,0,0,499,399
28,R1116,25,87,0,52.825,85.9,AAP00046,4500,4550,0,0,0,499,399
29,C3015,154,76,90,67.7,120,AAB00010,8100,8150,0,0,0,499,399
30,C11008,427,387,270,41.9,52.4,AAE00047,2150,2200,0,0,0,499,399
31,C8007,193,310,90,38.05,117.1,AAK00029,4450,4500,0,0,0,499,399
32,L7032,85,256,0,33.9,141.1,AAB00027,4750,4800,0,0,0,499,399
33,C3034,19,286,270,56.4,122.95,AAR00024,6900,6950,0,0,0,499,399
34,C3137,488,395,0,49.3,123.95,AAR00028,6100,6150,0,0,0,499,399
35,C10012,452,198,0,45.25,88.4,AAX00058,4000,4050,0,0,0,499,399
36,L7055,194,203,0,35.8,136.275,AAR00041,4850,4900,0,0,0,499,399
37,C3173,448,261,90,67.175,112.45,AAB00016,7550,7600,0,0,0,499,399
38,ZD11003,285,215,90,23.1,72.55,AAK00049,1650,1700,0,0,0,499,399
39,C10057,179,116,270,30.575,111.475,AAK00051,3400,3450,0,0,0,499,399
40,D1000,253,170,90,65.575,86.525,AAL00033,5650,5700,0,0,0,499,399
41,C4006,81,184,180,59.3,98.25,AAK00025,5800,5850,0,0,0,499,399
42,C10057,327,106,270,30.575,111.475,AAK00051,3400,3450,0,0,0,499,399
43,C3140,326,171,270,57.35,126.35,AAV00031,7200,7250,0,0,0,499,399
